dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace10.csv,0.1,True,additive,10.0,128.95418426954978,102.9780044555664,0.4372260570526123
trace10.csv,0.1,True,multiplicative,0.01,150.85110752203644,126.28912353515625,0.22987699508666992
trace10.csv,0.1,True,multiplicative,0.1,126.58753224671258,97.6788558959961,0.45769327878952026
trace10.csv,0.1,True,multiplicative,1.0,127.34256901292866,98.22643280029297,0.451204776763916
trace10.csv,0.1,True,multiplicative,10.0,127.05047901818395,98.10676574707031,0.45371949672698975
trace10.csv,0.1,False,additive,0.01,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,additive,0.1,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,additive,1.0,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,additive,10.0,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,multiplicative,0.01,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,multiplicative,0.1,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,multiplicative,1.0,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.1,False,multiplicative,10.0,269.4882737476716,240.8061981201172,-1.4577789306640625
trace10.csv,0.5,True,additive,0.01,129.57593092468986,103.73783111572266,0.4317862391471863
trace10.csv,0.5,True,additive,0.1,128.7790925868792,102.83025360107422,0.43875330686569214
trace10.csv,0.5,True,additive,1.0,128.69769113362136,102.64656066894531,0.4394626021385193
trace10.csv,0.5,True,additive,10.0,128.53319883642902,102.60961151123047,0.44089460372924805
trace10.csv,0.5,True,multiplicative,0.01,147.19228362714875,122.5728530883789,0.26678192615509033
trace10.csv,0.5,True,multiplicative,0.1,126.21844825415776,99.12663269042969,0.4608510732650757
trace10.csv,0.5,True,multiplicative,1.0,125.9981592437465,98.89136505126953,0.46273136138916016
trace10.csv,0.5,True,multiplicative,10.0,126.12390051552481,98.95672607421875,0.4616584777832031
trace10.csv,0.5,False,additive,0.01,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,additive,0.1,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,additive,1.0,265.57146519345787,237.21612548828125,-1.3868544101715088
